film_id,actor_id
1,1
1,1
1,1
1,1
3,1
3,1
3,1
40,1
58,1
62,1
85,1
85,1
101,1
142,1
150,1
164,1
164,1
164,1
199,1
199,1
199,1
219,1
221,1
274,1
274,1
336,1
336,1
393,1
393,1
400,1
427,1
427,1
427,1
441,1
457,1
457,1
466,1
497,1
544,1
552,1
571,1
571,1
587,1
587,1
589,1
589,1
616,1
650,1
650,1
670,1
687,1
712,1
712,1
734,1
734,1
757,1
788,1
812,1
812,1
855,1
888,1
925,1
926,1
945,1
945,1
966,1
966,1
966,1
966,1
973,1
996,1
996,1
23,1
23,1
23,1
70,1
78,1
89,1
89,1
118,1
118,1
121,1
154,1
154,1
154,1
154,1
160,1
193,1
208,1
208,1
223,1
241,1
241,1
241,1
243,1
243,1
245,1
245,1
259,1
268,1
314,1
326,1
349,1
355,1
430,1
433,1
456,1
456,1
489,1
510,1
510,1
541,1
564,1
564,1
569,1
582,1
583,1
583,1
583,1
615,1
644,1
644,1
649,1
651,1
692,1
703,1
743,1
805,1
805,1
816,1
816,1
820,1
859,1
865,1
865,1
880,1
880,1
880,1
880,1
886,1
886,1
887,1
892,1
901,1
953,1
963,1
986,1
25,1
25,1
25,1
45,1
77,1
90,1
90,1
93,1
96,1
96,1
96,1
108,1
136,1
144,1
144,1
144,1
155,1
155,1
163,1
216,1
226,1
226,1
226,1
226,1
251,1
267,1
283,1
283,1
289,1
305,1
321,1
321,1
321,1
321,1
321,1
340,1
340,1
364,1
436,1
448,1
481,1
490,1
490,1
492,1
538,1
538,1
551,1
561,1
561,1
590,1
590,1
635,1
635,1
635,1
635,1
635,1
685,1
686,1
720,1
730,1
750,1
759,1
806,1
846,1
846,1
847,1
920,1
935,1
948,1
948,1
974,1
994,1
994,1
25,1
25,1
25,1
45,1
77,1
90,1
90,1
93,1
96,1
96,1
96,1
108,1
136,1
144,1
144,1
144,1
155,1
155,1
163,1
216,1
226,1
226,1
226,1
226,1
251,1
267,1
283,1
283,1
289,1
305,1
321,1
321,1
321,1
321,1
321,1
340,1
340,1
364,1
436,1
448,1
481,1
490,1
490,1
492,1
538,1
538,1
551,1
561,1
561,1
590,1
590,1
635,1
635,1
635,1
635,1
635,1
685,1
686,1
720,1
730,1
750,1
759,1
806,1
846,1
846,1
847,1
920,1
935,1
948,1
948,1
974,1
994,1
994,1
106,1
117,1
200,1
217,1
217,1
232,1
236,1
236,1
236,1
281,1
281,1
306,1
310,1
316,1
381,1
381,1
387,1
438,1
438,1
438,1
483,1
507,1
508,1
508,1
597,1
597,1
597,1
646,1
742,1
742,1
781,1
835,1
840,1
842,1
842,1
919,1
949,1
956,1
106,1
117,1
200,1
217,1
217,1
232,1
236,1
236,1
236,1
281,1
281,1
306,1
310,1
316,1
381,1
381,1
387,1
438,1
438,1
438,1
483,1
507,1
508,1
508,1
597,1
597,1
597,1
646,1
742,1
742,1
781,1
835,1
840,1
842,1
842,1
919,1
949,1
956,1
44,1
69,1
73,1
81,1
132,1
140,1
140,1
153,1
165,1
165,1
177,1
177,1
195,1
203,1
203,1
203,1
235,1
296,1
312,1
338,1
367,1
369,1
369,1
369,1
390,1
390,1
449,1
